Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
0.410852812,0.05024796,0.040268559,0.459357589,0.043289844,0.034761356,0.034343494,0.129049729,0.036462027,0.065445945,0.037048906,0.027054247,0.029480431,0.027054247,0.029312581,0.004847225,0.002965768,0.117306384,0.002857531,0.205630586,0.038391698,22
0.113858829,0.039703976,0.03617914,0.149233237,0.037277792,0.029813242,0.031076545,0.080007532,0.032558069,0.080247194,0.032440681,0.024338139,0.02668803,0.024338139,0.02668803,0.003052055,0.0019415,0.03708964,0.00193037,0.112230107,0.033936065,23
0.202084367,0.137682155,0.036881056,0.167498291,0.03978027,0.049841894,0.03362826,0.089341803,0.034163451,0.096543834,0.033966582,0.029694056,0.030823225,0.029694056,0.030701153,0.028777398,0.001248238,0.032318829,0.001504504,0.112565806,0.03523308,24
0.182438112,0.05226215,0.036392767,0.1223621,0.036942091,0.038044523,0.031732419,0.067631667,0.032136541,0.06906233,0.032089721,0.030914778,0.027862974,0.030914778,0.027862974,0.005154204,0.001685393,0.023552596,0.001557394,0.08500801,0.033203632,25
0.042105073,0.193743795,0.036194399,0.193743795,0.036194399,0.083587503,0.032426131,0.083388044,0.032516783,0.069001295,0.032501716,0.027725643,0.030075531,0.027725643,0.02964828,0.056262112,0.001359083,0.0485464,0.001300489,0.127241164,0.033253223,26
0.136637363,0.053040359,0.036789503,0.150896475,0.037964448,0.040086245,0.032816116,0.084787615,0.033813374,0.085023269,0.034027617,0.030945297,0.027069505,0.030945297,0.027069505,0.005495311,0.002258647,0.034448426,0.001705539,0.116777293,0.03494316,27
0.20371923,0.063477531,0.037949186,0.19771114,0.041275654,0.040591956,0.033373965,0.104805361,0.035344626,0.109620813,0.035423819,0.031219959,0.029678797,0.031219959,0.02932784,0.005219067,0.001880105,0.04525222,0.00227897,0.145433739,0.037006944,28
0.060775376,0.181368738,0.038483255,0.181368738,0.039887082,0.045462517,0.032765733,0.089610842,0.03385659,0.093003735,0.034012359,0.026886396,0.02870222,0.026886396,0.026764324,0.034731404,0.002035399,0.040189747,0.001997181,0.122835126,0.035141528,29
0.15190768,0.054886702,0.033844512,0.124010071,0.033844512,0.040400276,0.028972708,0.075787517,0.029463639,0.078248262,0.029556725,0.03106737,0.025436789,0.03106737,0.025436789,0.005682405,0.001828775,0.026071474,0.001541362,0.09920653,0.030449378,30
0.227348432,0.058808271,0.039871823,0.161348894,0.04179446,0.040228833,0.034414619,0.083887559,0.035288111,0.085587852,0.035690852,0.03138781,0.028778516,0.03138781,0.027283132,0.005964547,0.002772922,0.033201321,0.002640978,0.105596248,0.037109941,31
0.225118685,0.045273516,0.036499582,0.205111772,0.03918517,0.033912819,0.031657583,0.089975547,0.033794289,0.081429768,0.033783473,0.028809033,0.026001373,0.028809033,0.026001373,0.00313558,0.001844549,0.048627355,0.002102288,0.131189436,0.035378043,32
0.19555584,0.139406428,0.037216753,0.15667963,0.037659265,0.056920545,0.032468656,0.083696368,0.03270585,0.085740447,0.033020522,0.031052109,0.026703289,0.031052109,0.026703289,0.029010344,0.002896348,0.032875063,0.002231985,0.110719463,0.03417258,33
0.125893411,0.052704662,0.038483255,0.136888683,0.039719235,0.036694744,0.033424277,0.071698718,0.033931314,0.075272754,0.033829253,0.028763257,0.029129473,0.028763257,0.029037919,0.004789071,0.001950886,0.025474137,0.001767982,0.090844586,0.035065234,34
